URL,Endereço,Tipo/Área,Características,Preço,Metragem,Quartos,Creci
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-408-1238214,"SQS 408, ASA SUL, BRASILIA",,REFORMADO - VAZADO - ANDAR ALTO REFORMA TOTAL,R$ 650.000,54 m²,2 Quartos,25164
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-210-1211766,"SQS 210, ASA SUL, BRASILIA",,OPORTUNIDADE ÚNICA NA 210 SUL - CONFORTO E LOCALIZAÇÃO PRIVILEGIADA!,R$ 1.100.000,76 m²,2 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-207-1199203,"SQS 207, ASA SUL, BRASILIA",,SQS 207 APARTAMENTO 3 QUARTOS VISTA LIVRE,R$ 2.500.000,170 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-410-1073954,"SQS 410, ASA SUL, BRASILIA",,BLOCO T REFORMADO! PISO EM PORCELANATO! ARMÁRIOS!,R$ 860.000,86 m²,3 Quartos,29560
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-313-bloco-h-1128613,"SQS 313 Bloco H, ASA SUL, BRASILIA",,1 SUÍTE,R$ 3.100.000,210 m²,4 Quartos,27949
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-108-1154648,"SQS 108, ASA SUL, BRASILIA",,APARTAMENTO SQS 108 3 QUARTOS AO LADO DO CLUBE VIZINHANÇA,R$ 2.500.000,178 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-208-1137262,"SQS 208, ASA SUL, BRASILIA",,SQS 208 APARTAMENTO 3 QUARTOS VISTA LIVRE / VAZADO / MEIO DE QUADRA,R$ 1.320.000,100 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1103873,"SQS 304, ASA SUL, BRASILIA",,SQS 304 - VAZADO - VISTA LIVRE - REFORMADO,R$ 2.200.000,178 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-109-1009661,"SQS 109, ASA SUL, BRASILIA",,"SQS 109, 3 QUARTOS FRENTE ÁREA VERDE COM VAGA DE GARAGEM",R$ 1.450.000,136 m²,3 Quartos,21418
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-306-bloco-i-1209859,"SQS 306 Bloco I, ASA SUL, BRASILIA",,,R$ 2.249.000,154 m²,3 Quartos,32515
https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-306-1235798,"SQS 306, ASA SUL, BRASILIA",,VAZADO | ANDAR ALTO | ILUMINAÇÃO NATURAL,R$ 1.495.000,154 m²,4 Quartos,26760PJ
